"DATELASTUPDATED","DEFINITION","IDENTIFIER","REFERENCEURL","TITLE","VOCABULARYID"
"2026-02-27 17:48:52.1","","37","https://www.stlouis-mo.gov/live-work/community/neighborhoods/midtown/","Midtown","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","87","","Missouri Botanical Garden","1"
"2026-02-27 17:48:52.1","","17","https://www.stlouis-mo.gov/live-work/community/neighborhoods/mount-pleasant/","Mount Pleasant","1"
"2026-02-27 17:48:52.1","","64","https://www.stlouis-mo.gov/live-work/community/neighborhoods/near-north-riverfront/","Near North Riverfront","1"
"2026-02-27 17:48:52.1","","73","https://www.stlouis-mo.gov/live-work/community/neighborhoods/north-pointe/","North Pointe","1"
"2026-02-27 17:48:52.1","","79","https://www.stlouis-mo.gov/live-work/community/neighborhoods/north-riverfront/","North Riverfront","1"
"2026-02-27 17:48:52.1","","14","https://www.stlouis-mo.gov/live-work/community/neighborhoods/northampton/","Northampton","1"
"2026-02-27 17:48:52.1","","68","https://www.stlouis-mo.gov/live-work/community/neighborhoods/o-fallon/","O'Fallon","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","85","","O'Fallon Park","1"
"2026-02-27 17:48:52.1","","63","https://www.stlouis-mo.gov/live-work/community/neighborhoods/old-north-st-louis/","Old North St. Louis","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","98","","Outside of City","1"
"2026-02-27 17:48:52.1","","2","https://www.stlouis-mo.gov/live-work/community/neighborhoods/patch/","Patch","1"
"2026-02-27 17:48:52.1","","33","https://www.stlouis-mo.gov/live-work/community/neighborhoods/peabody-darst-webbe/","Peabody Darst Webbe","1"
"2026-02-27 17:48:52.1","","69","https://www.stlouis-mo.gov/live-work/community/neighborhoods/penrose/","Penrose","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","84","","Penrose Park","1"
"2026-02-27 17:48:52.1","","6","https://www.stlouis-mo.gov/live-work/community/neighborhoods/princeton-heights/","Princeton Heights","1"
"2026-02-27 17:48:52.1","","75","https://www.stlouis-mo.gov/live-work/community/neighborhoods/riverview/","Riverview","1"
"2026-02-27 17:48:52.1","","27","https://www.stlouis-mo.gov/live-work/community/neighborhoods/shaw/","Shaw","1"
"2026-02-27 17:48:52.1","","46","https://www.stlouis-mo.gov/live-work/community/neighborhoods/skinker-debaliviere/","Skinker DeBaliviere","1"
"2026-02-27 17:48:52.1","","21","https://www.stlouis-mo.gov/live-work/community/neighborhoods/soulard/","Soulard","1"
"2026-02-27 17:48:52.1","","7","https://www.stlouis-mo.gov/live-work/community/neighborhoods/southampton/","Southampton","1"
"2026-02-27 17:48:52.1","","13","https://www.stlouis-mo.gov/live-work/community/neighborhoods/southwest-garden/","Southwest Garden","1"
"2026-02-27 17:48:52.1","","8","https://www.stlouis-mo.gov/live-work/community/neighborhoods/st-louis-hills/","St. Louis Hills","1"
"2026-02-27 17:48:52.1","","60","https://www.stlouis-mo.gov/live-work/community/neighborhoods/st-louis-place/","St. Louis Place","1"
"2026-02-27 17:48:52.1","","31","https://www.stlouis-mo.gov/live-work/community/neighborhoods/the-gate-district/","The Gate District","1"
"2026-02-27 17:48:52.1","","56","https://www.stlouis-mo.gov/live-work/community/neighborhoods/the-greater-ville/","The Greater Ville","1"
"2026-02-27 17:48:52.1","","12","https://www.stlouis-mo.gov/live-work/community/neighborhoods/the-hill/","The Hill","1"
"2026-02-27 17:48:52.1","","57","https://www.stlouis-mo.gov/live-work/community/neighborhoods/the-ville/","The Ville","1"
"2026-02-27 17:48:52.1","","29","https://www.stlouis-mo.gov/live-work/community/neighborhoods/tiffany/","Tiffany","1"
"2026-02-27 17:48:52.1","","25","https://www.stlouis-mo.gov/live-work/community/neighborhoods/tower-grove-east/","Tower Grove East","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","81","","Tower Grove Park","1"
"2026-02-27 17:48:52.1","","15","https://www.stlouis-mo.gov/live-work/community/neighborhoods/tower-grove-south/","Tower Grove South","1"
"2026-02-27 17:58:53.28","Neighborhood not known","99","","Unknown","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","90","","Unknown City","1"
"2026-02-27 17:48:52.1","","58","https://www.stlouis-mo.gov/live-work/community/neighborhoods/vandeventer/","Vandeventer","1"
"2026-02-27 17:48:52.1","","49","https://www.stlouis-mo.gov/live-work/community/neighborhoods/visitation-park/","Visitation Park","1"
"2026-02-27 17:48:52.1","","72","https://www.stlouis-mo.gov/live-work/community/neighborhoods/walnut-park-east/","Walnut Park East","1"
"2026-02-27 17:48:52.1","","76","https://www.stlouis-mo.gov/live-work/community/neighborhoods/walnut-park-west/","Walnut Park West","1"
"2026-02-27 17:48:52.1","","50","https://www.stlouis-mo.gov/live-work/community/neighborhoods/wells-goodfellow/","Wells Goodfellow","1"
"2026-02-27 17:48:52.1","","48","https://www.stlouis-mo.gov/live-work/community/neighborhoods/west-end/","West End","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","88","","Willmore Park","1"
"2026-02-27 17:48:52.1","","45","https://www.stlouis-mo.gov/live-work/community/neighborhoods/wydown-skinker/","Wydown Skinker","1"
