"DATELASTUPDATED","DEFINITION","IDENTIFIER","REFERENCEURL","TITLE","VOCABULARYID"
"2025-04-09 08:10:48.647","","1","","DevNet Building Apartment Data","96"
"2025-04-09 08:10:48.65","","2","","DevNet Land Use has Building Rec","96"
"2025-04-09 08:10:48.653","","3","","DevNet Land Use missing Building Rec","96"
"2025-04-09 08:10:48.657","","20","","Other","96"
"2025-04-09 08:10:48.67","","120","","Other Override DevNet","96"
"2025-04-09 08:10:48.657","","10","","Permits","96"
"2025-04-09 08:10:48.67","","110","","Permits Override DevNet","96"
"2025-04-09 08:10:48.66","","50","","Pre DevNet Parcel Unit Data","96"
